2026-05-16 22:00:01 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Defining geographic areas of the Alpine National Park'
2026-05-16 22:51:13 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5065/5423 (2 members)
2026-05-16 22:51:48 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Transitions in The British Journal's publishing history' id=community_l2_28f5609a60724e81b1050e6ab09ee9a1
2026-05-16 22:51:48 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Transitions in The British Journal's publishing history'
2026-05-16 22:51:48 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Transitions in The British Journal's publishing history' (id=community_l2_28f5609a60724e81b1050e6ab09ee9a1, 2 members)
2026-05-16 22:51:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5066/5423 (1 members)
2026-05-16 22:51:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5066/5423: singleton entity cluster (20 march 1731)
2026-05-16 22:51:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5067/5423 (2 members)
2026-05-16 22:52:11 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'London Review of Books Publishing Frequency' id=community_l2_d3825854951b4aa0b567c4eb2d33155a
2026-05-16 22:52:11 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'London Review of Books Publishing Frequency'
2026-05-16 22:52:11 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'London Review of Books Publishing Frequency' (id=community_l2_d3825854951b4aa0b567c4eb2d33155a, 2 members)
2026-05-16 22:52:11 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5068/5423 (1 members)
2026-05-16 22:52:11 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5068/5423: singleton entity cluster (literary essays)
2026-05-16 22:52:11 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5069/5423 (2 members)
2026-05-16 22:52:37 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Alternative names for the KOMAS Freedom Film Festival' id=community_l2_8c21a24e225d4bf0969039f7935ffdf9
2026-05-16 22:52:37 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Alternative names for the KOMAS Freedom Film Festival'
2026-05-16 22:52:37 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Alternative names for the KOMAS Freedom Film Festival' (id=community_l2_8c21a24e225d4bf0969039f7935ffdf9, 2 members)
2026-05-16 22:52:38 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5070/5423 (1 members)
2026-05-16 22:52:38 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5070/5423: singleton entity cluster (universal declaration of human rights (udhr))
2026-05-16 22:52:38 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5071/5423 (1 members)
2026-05-16 22:52:38 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5071/5423: singleton entity cluster (documentary film festival)
2026-05-16 22:52:38 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5072/5423 (2 members)
2026-05-16 22:53:10 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Malaysian Program for Launching New Documentary Filmmakers' id=community_l2_4f35d74977de41d1b4f8c797ba000eff
2026-05-16 22:53:10 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Malaysian Program for Launching New Documentary Filmmakers'
2026-05-16 22:53:10 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Malaysian Program for Launching New Documentary Filmmakers' (id=community_l2_4f35d74977de41d1b4f8c797ba000eff, 2 members)
2026-05-16 22:53:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5073/5423 (1 members)
2026-05-16 22:53:10 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5073/5423: singleton entity cluster (doc nyc)
2026-05-16 22:53:10 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5074/5423 (2 members)
2026-05-16 22:53:39 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Co-founding Doc NYC' id=community_l2_9157f7e025bd48eba6e54e97f3a1c499
2026-05-16 22:53:39 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Co-founding Doc NYC'
2026-05-16 22:53:39 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Co-founding Doc NYC' (id=community_l2_9157f7e025bd48eba6e54e97f3a1c499, 2 members)
2026-05-16 22:53:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5075/5423 (2 members)
2026-05-16 22:54:08 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'West Village Venues for Doc NYC' id=community_l2_b7b08a642ffa4251bf326df9d10a5793
2026-05-16 22:54:08 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'West Village Venues for Doc NYC'
2026-05-16 22:54:08 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'West Village Venues for Doc NYC' (id=community_l2_b7b08a642ffa4251bf326df9d10a5793, 2 members)
2026-05-16 22:54:08 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5076/5423 (2 members)
2026-05-16 22:54:39 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Chelsea's Venues for Doc NYC' id=community_l2_e6449a89526d484eb5e4a78183e3a515
2026-05-16 22:54:40 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Chelsea's Venues for Doc NYC'
2026-05-16 22:54:40 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Chelsea's Venues for Doc NYC' (id=community_l2_e6449a89526d484eb5e4a78183e3a515, 2 members)
2026-05-16 22:54:40 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5077/5423 (1 members)
2026-05-16 22:54:40 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5077/5423: singleton entity cluster (sva theater)
2026-05-16 22:54:40 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5078/5423 (1 members)
2026-05-16 22:54:40 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5078/5423: singleton entity cluster (november)
2026-05-16 22:54:40 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5079/5423 (1 members)
2026-05-16 22:54:40 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5079/5423: singleton entity cluster (eight days)
2026-05-16 22:54:40 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5080/5423 (2 members)
2026-05-16 22:55:09 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Academic journal published by the British Psychological Society' id=community_l2_33437347a292495da159e7ff0fa72186
2026-05-16 22:55:09 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Academic journal published by the British Psychological Society'
2026-05-16 22:55:09 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Academic journal published by the British Psychological Society' (id=community_l2_33437347a292495da159e7ff0fa72186, 2 members)
2026-05-16 22:55:09 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5081/5423 (1 members)
2026-05-16 22:55:09 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5081/5423: singleton entity cluster (journal citation reports)
2026-05-16 22:55:09 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5082/5423 (5 members)
2026-05-16 22:55:38 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Core Subjects of Human Social Behavior' id=community_l2_8c4011a40d7e4deaae60d91c3322661e
2026-05-16 22:55:39 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 5 for community 'Core Subjects of Human Social Behavior'
2026-05-16 22:55:39 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Core Subjects of Human Social Behavior' (id=community_l2_8c4011a40d7e4deaae60d91c3322661e, 5 members)
2026-05-16 22:55:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5083/5423 (4 members)
2026-05-16 22:56:18 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'The interplay between self-concept, emotion, and social communication' id=community_l2_34f648bf7d774d1b88a0c10827097298
2026-05-16 22:56:18 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 4 for community 'The interplay between self-concept, emotion, and social communication'
2026-05-16 22:56:18 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'The interplay between self-concept, emotion, and social communication' (id=community_l2_34f648bf7d774d1b88a0c10827097298, 4 members)
2026-05-16 22:56:18 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5084/5423 (1 members)
2026-05-16 22:56:18 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5084/5423: singleton entity cluster (thomas gordon)
2026-05-16 22:56:18 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5085/5423 (1 members)
2026-05-16 22:56:18 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5085/5423: singleton entity cluster (john trenchard)
2026-05-16 22:56:18 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5086/5423 (1 members)
2026-05-16 22:56:18 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5086/5423: singleton entity cluster (the independent whig)
2026-05-16 22:56:18 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5087/5423 (2 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'The Composition of Cato's Letters by Trenchard and Gordon' id=community_l2_e8c092742cfe42299550e220ed9c15de
2026-05-16 22:56:48 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'The Composition of Cato's Letters by Trenchard and Gordon'
2026-05-16 22:56:48 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'The Composition of Cato's Letters by Trenchard and Gordon' (id=community_l2_e8c092742cfe42299550e220ed9c15de, 2 members)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5088/5423 (1 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5088/5423: singleton entity cluster (lack of morality)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5089/5423 (1 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5089/5423: singleton entity cluster (tyranny)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5090/5423 (1 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5090/5423: singleton entity cluster (essays on liberty, civil and religious)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5091/5423 (1 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5091/5423: singleton entity cluster (london journal)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5092/5423 (1 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5092/5423: singleton entity cluster (commonwealth man tradition)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5093/5423 (1 members)
2026-05-16 22:56:48 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5093/5423: singleton entity cluster (country party)
2026-05-16 22:56:48 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5094/5423 (2 members)
2026-05-16 22:57:20 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Republican Ideas in the American Colonies' id=community_l2_7eae45580e3b4c91bbbe9e616afa0a30
2026-05-16 22:57:20 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Republican Ideas in the American Colonies'
2026-05-16 22:57:20 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Republican Ideas in the American Colonies' (id=community_l2_7eae45580e3b4c91bbbe9e616afa0a30, 2 members)
2026-05-16 22:57:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5095/5423 (1 members)
2026-05-16 22:57:20 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5095/5423: singleton entity cluster (american revolution)
2026-05-16 22:57:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5096/5423 (1 members)
2026-05-16 22:57:20 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5096/5423: singleton entity cluster (zuckert)
2026-05-16 22:57:20 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5097/5423 (2 members)
2026-05-16 22:57:52 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'New Haven Documentary Film Showcase' id=community_l2_3ffb181aaf494aca9cd7a990f9ba8e45
2026-05-16 22:57:52 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'New Haven Documentary Film Showcase'
2026-05-16 22:57:52 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'New Haven Documentary Film Showcase' (id=community_l2_3ffb181aaf494aca9cd7a990f9ba8e45, 2 members)
2026-05-16 22:57:52 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5098/5423 (1 members)
2026-05-16 22:57:52 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5098/5423: singleton entity cluster (weekend)
2026-05-16 22:57:52 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5099/5423 (1 members)
2026-05-16 22:57:52 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5099/5423: singleton entity cluster (yale university's whitney humanities center auditorium)
2026-05-16 22:57:52 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5100/5423 (1 members)
2026-05-16 22:57:52 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5100/5423: singleton entity cluster (new haven free public library)
2026-05-16 22:57:52 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5101/5423 (1 members)
2026-05-16 22:57:52 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5101/5423: singleton entity cluster (documentaries)
2026-05-16 22:57:52 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5102/5423 (2 members)
2026-05-16 22:58:29 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Co-Founders in Documentary Film Initiatives' id=community_l2_15aa912230b047488d4748174ee63539
2026-05-16 22:58:29 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Co-Founders in Documentary Film Initiatives'
2026-05-16 22:58:29 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Co-Founders in Documentary Film Initiatives' (id=community_l2_15aa912230b047488d4748174ee63539, 2 members)
2026-05-16 22:58:29 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5103/5423 (1 members)
2026-05-16 22:58:29 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5103/5423: singleton entity cluster (gorman bechard)
2026-05-16 22:58:29 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5104/5423 (1 members)
2026-05-16 22:58:29 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5104/5423: singleton entity cluster (jacob bricca)
2026-05-16 22:58:29 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5105/5423 (1 members)
2026-05-16 22:58:29 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5105/5423: singleton entity cluster (lisa molomot)
2026-05-16 22:58:29 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5106/5423 (1 members)
2026-05-16 22:58:29 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5106/5423: singleton entity cluster (big sky documentary film festival)
2026-05-16 22:58:29 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5107/5423 (3 members)
2026-05-16 22:59:13 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Natural Waterways within Scott's Run Nature Preserve' id=community_l2_21a5b0d8688e4eb299382320338923c4
2026-05-16 22:59:13 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'Natural Waterways within Scott's Run Nature Preserve'
2026-05-16 22:59:13 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Natural Waterways within Scott's Run Nature Preserve' (id=community_l2_21a5b0d8688e4eb299382320338923c4, 3 members)
2026-05-16 22:59:13 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5108/5423 (1 members)
2026-05-16 22:59:13 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5108/5423: singleton entity cluster (mclean)
2026-05-16 22:59:13 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5109/5423 (1 members)
2026-05-16 22:59:13 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5109/5423: singleton entity cluster (virginia state route 193)
2026-05-16 22:59:13 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5110/5423 (1 members)
2026-05-16 22:59:13 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5110/5423: singleton entity cluster (interstate 495)
2026-05-16 22:59:13 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5111/5423 (1 members)
2026-05-16 22:59:13 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5111/5423: singleton entity cluster (woodland)
2026-05-16 22:59:13 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5112/5423 (3 members)
2026-05-16 22:59:35 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Major Commercial Developments in Tysons Corner' id=community_l2_6f13ea5e011c40b386cde0aed1391e63
2026-05-16 22:59:35 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 3 for community 'Major Commercial Developments in Tysons Corner'
2026-05-16 22:59:35 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Major Commercial Developments in Tysons Corner' (id=community_l2_6f13ea5e011c40b386cde0aed1391e63, 3 members)
2026-05-16 22:59:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5113/5423 (1 members)
2026-05-16 22:59:35 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5113/5423: singleton entity cluster (eastern hemlocks)
2026-05-16 22:59:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5114/5423 (1 members)
2026-05-16 22:59:35 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5114/5423: singleton entity cluster (fairfax county park authority)
2026-05-16 22:59:35 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5115/5423 (2 members)
2026-05-16 23:00:04 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Outdoor Recreational Activities' id=community_l2_3580221768b94030a479a7980239b937
2026-05-16 23:00:04 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Outdoor Recreational Activities'
2026-05-16 23:00:04 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Outdoor Recreational Activities' (id=community_l2_3580221768b94030a479a7980239b937, 2 members)
2026-05-16 23:00:04 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5116/5423 (1 members)
2026-05-16 23:00:04 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5116/5423: singleton entity cluster (general growth properties)
2026-05-16 23:00:04 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5117/5423 (1 members)
2026-05-16 23:00:04 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5117/5423: singleton entity cluster (2001 international drive)
2026-05-16 23:00:04 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5118/5423 (1 members)
2026-05-16 23:00:04 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5118/5423: singleton entity cluster (super-regional mall)
2026-05-16 23:00:04 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5119/5423 (1 members)
2026-05-16 23:00:04 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5119/5423: singleton entity cluster (second-largest mall in mclean/tysons corner)
2026-05-16 23:00:04 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5120/5423 (1 members)
2026-05-16 23:00:04 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5120/5423: singleton entity cluster (washington metropolitan area)
2026-05-16 23:00:04 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5121/5423 (2 members)
2026-05-16 23:00:39 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Commercial Sites within Dutchess County' id=community_l2_f60e60e94ffb44c9a9bae3b1d2e33736
2026-05-16 23:00:39 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Commercial Sites within Dutchess County'
2026-05-16 23:00:39 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Commercial Sites within Dutchess County' (id=community_l2_f60e60e94ffb44c9a9bae3b1d2e33736, 2 members)
2026-05-16 23:00:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5122/5423 (1 members)
2026-05-16 23:00:39 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5122/5423: singleton entity cluster (u.s. 9)
2026-05-16 23:00:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5123/5423 (1 members)
2026-05-16 23:00:39 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5123/5423: singleton entity cluster (town of poughkeepsie)
2026-05-16 23:00:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5124/5423 (1 members)
2026-05-16 23:00:39 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5124/5423: singleton entity cluster (wappingers falls)
2026-05-16 23:00:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5125/5423 (1 members)
2026-05-16 23:00:39 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5125/5423: singleton entity cluster (shops)
2026-05-16 23:00:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5126/5423 (1 members)
2026-05-16 23:00:39 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5126/5423: singleton entity cluster (regal cinemas)
2026-05-16 23:00:39 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5127/5423 (2 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Northern Virginia Urban Corridor' id=community_l2_7117dbdaf6d44d699f8cdbe6a0a48b0a
2026-05-16 23:00:59 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Northern Virginia Urban Corridor'
2026-05-16 23:00:59 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Northern Virginia Urban Corridor' (id=community_l2_7117dbdaf6d44d699f8cdbe6a0a48b0a, 2 members)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5128/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5128/5423: singleton entity cluster (capital beltway (i-495))
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5129/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5129/5423: singleton entity cluster (intelsat)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5130/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5130/5423: singleton entity cluster (gannett)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5131/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5131/5423: singleton entity cluster (hilton worldwide)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5132/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5132/5423: singleton entity cluster (freddie mac)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5133/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5133/5423: singleton entity cluster (capital one)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5134/5423 (1 members)
2026-05-16 23:00:59 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5134/5423: singleton entity cluster (booz allen hamilton)
2026-05-16 23:00:59 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5135/5423 (2 members)
2026-05-16 23:01:25 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Geographical definitions of Tysons Corner' id=community_l2_2df9386fd91e4b91ba0909961846d5bd
2026-05-16 23:01:25 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Geographical definitions of Tysons Corner'
2026-05-16 23:01:25 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Geographical definitions of Tysons Corner' (id=community_l2_2df9386fd91e4b91ba0909961846d5bd, 2 members)
2026-05-16 23:01:25 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5136/5423 (2 members)
2026-05-16 23:02:00 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Cumberland/Galleria Area Venues and Geography' id=community_l2_1b1e2c0ab7614c9985fda8c90dc42b37
2026-05-16 23:02:00 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Cumberland/Galleria Area Venues and Geography'
2026-05-16 23:02:00 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Cumberland/Galleria Area Venues and Geography' (id=community_l2_1b1e2c0ab7614c9985fda8c90dc42b37, 2 members)
2026-05-16 23:02:00 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5137/5423 (2 members)
2026-05-16 23:02:34 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Cobb County's Location Relative to Atlanta, Georgia' id=community_l2_3b64b84425aa4fc49d8344c8eb70cb2e
2026-05-16 23:02:34 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Cobb County's Location Relative to Atlanta, Georgia'
2026-05-16 23:02:34 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Cobb County's Location Relative to Atlanta, Georgia' (id=community_l2_3b64b84425aa4fc49d8344c8eb70cb2e, 2 members)
2026-05-16 23:02:34 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5138/5423 (1 members)
2026-05-16 23:02:34 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5138/5423: singleton entity cluster (cumberland mall)
2026-05-16 23:02:34 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5139/5423 (1 members)
2026-05-16 23:02:34 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5139/5423: singleton entity cluster (cobb energy performing arts centre)
2026-05-16 23:02:34 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5140/5423 (1 members)
2026-05-16 23:02:34 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5140/5423: singleton entity cluster (cobb-marietta coliseum and exhibit hall authority)
2026-05-16 23:02:34 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5141/5423 (2 members)
2026-05-16 23:03:08 | IngestionPipeline | DEBUG |   [Community] Kuzu community node created: 'Interstates defining the Cobb Galleria Centre intersection' id=community_l2_212d28e576684abb97ed6680a7a341ff
2026-05-16 23:03:09 | IngestionPipeline | DEBUG |   [Community] Qdrant NL sentences written: 2 for community 'Interstates defining the Cobb Galleria Centre intersection'
2026-05-16 23:03:09 | IngestionPipeline | INFO |   [Community] ✓ Created L2 community 'Interstates defining the Cobb Galleria Centre intersection' (id=community_l2_212d28e576684abb97ed6680a7a341ff, 2 members)
2026-05-16 23:03:09 | IngestionPipeline | INFO | [Community] Summarising L2 cluster 5142/5423 (1 members)
2026-05-16 23:03:09 | IngestionPipeline | DEBUG | [Community] Skipping L2 cluster 5142/5423: singleton entity cluster (cobb parkway (u.s. 41))
